"时间","级别","来源","类型","方法","消息","应用名称","执行类型","执行方法","执行目录"

"2017-04-27 09:43:14:336","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 09:43:14:445","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 09:43:39:608","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""H48zgJZ3gx7QHHWJPn9gmuadfAlSmzY9vKODiKR7ybIvKgzavdrZtdRX24B3V71D02hW8cJI6mxLB8UTBAvZNuISGAnc900CNJyB52hFzvKrrxIk15RLimNVqY0ZWcv8SAKdACAOWG"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 09:43:39:608","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""H48zgJZ3gx7QHHWJPn9gmuadfAlSmzY9vKODiKR7ybKAXlMauxsfrQep_Bf8lobDfW3r-CbuikbIl1q1Z2YZaymorwwwRXrE6nYQ5nyryfwq5GugVOMZUiHtMpiGm2puACTdACAPRI"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 09:43:39:701","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/ticket/getticket?access_token=H48zgJZ3gx7QHHWJPn9gmuadfAlSmzY9vKODiKR7ybKAXlMauxsfrQep_Bf8lobDfW3r-CbuikbIl1q1Z2YZaymorwwwRXrE6nYQ5nyryfwq5GugVOMZUiHtMpiGm2puACTdACAPRI&type=jsapi】, result:【{""errcode"":0,""errmsg"":""ok"",""ticket"":""kgt8ON7yVITDhtdwci0qebqDC6FX2oUTB5_CoPw5D6LKkrMOgIkEC2YGmGsrk0wNQNNLp0a46gO07y5Wik-mEQ"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 09:43:45:159","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/ticket/getticket?access_token=H48zgJZ3gx7QHHWJPn9gmuadfAlSmzY9vKODiKR7ybIvKgzavdrZtdRX24B3V71D02hW8cJI6mxLB8UTBAvZNuISGAnc900CNJyB52hFzvKrrxIk15RLimNVqY0ZWcv8SAKdACAOWG&type=jsapi】, result:【{""errcode"":0,""errmsg"":""ok"",""ticket"":""kgt8ON7yVITDhtdwci0qebqDC6FX2oUTB5_CoPw5D6LKkrMOgIkEC2YGmGsrk0wNQNNLp0a46gO07y5Wik-mEQ"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 09:44:49:993","信息","OtNaf.ComLib.dll","公共组件","退出","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","OtComExit","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 09:45:16:358","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 09:45:21:093","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
